Year,Month,Product,State,Requirement,Availability
2014-2015,April,DAP,Andaman & Nicobar,0,0
2014-2015,April,MAP,Andaman & Nicobar,0,0
2014-2015,April,MOP,Andaman & Nicobar,0,0
2014-2015,April,NPK,Andaman & Nicobar,0,0
2014-2015,April,TSP,Andaman & Nicobar,0,0
2014-2015,April,UREA,Andaman & Nicobar,0,0
2014-2015,April,DAP,Andhra Pradesh,50000,15510.7
2014-2015,April,MAP,Andhra Pradesh,0,0
2014-2015,April,MOP,Andhra Pradesh,30000,18617.44
2014-2015,April,NPK,Andhra Pradesh,90000,100620.84
2014-2015,April,TSP,Andhra Pradesh,0,0
2014-2015,April,UREA,Andhra Pradesh,150000,27720.65
2014-2015,April,SSP,Andhra Pradesh,30000,0
2014-2015,April,DAP,Arunachal Pradesh,0,0
2014-2015,April,MAP,Arunachal Pradesh,0,0
2014-2015,April,MOP,Arunachal Pradesh,0,0
2014-2015,April,NPK,Arunachal Pradesh,0,0
2014-2015,April,TSP,Arunachal Pradesh,0,0
2014-2015,April,UREA,Arunachal Pradesh,0,0
2014-2015,April,DAP,Assam,0,1032.75
2014-2015,April,MAP,Assam,0,0
2014-2015,April,MOP,Assam,0,3990.3
2014-2015,April,NPK,Assam,0,394.15
2014-2015,April,TSP,Assam,0,0
2014-2015,April,UREA,Assam,0,901.4
2014-2015,April,SSP,Assam,0,0
2014-2015,April,DAP,Bihar,0,11133
2014-2015,April,MAP,Bihar,0,0
2014-2015,April,MOP,Bihar,0,6402.5
2014-2015,April,NPK,Bihar,0,6636.65
2014-2015,April,TSP,Bihar,0,7673.75
2014-2015,April,UREA,Bihar,0,6046.6
2014-2015,April,SSP,Bihar,0,0
2012-13,April,DAP,Chandigarh,0,0
2012-13,April,MAP,Chandigarh,0,0
2012-13,April,MOP,Chandigarh,0,0
2012-13,April,NPK,Chandigarh,0,0
2012-13,April,TSP,Chandigarh,0,0
2012-13,April,UREA,Chandigarh,0,0
2014-2015,April,DAP,Chattishgarh,0,5095.85
2014-2015,April,MAP,Chattishgarh,0,0
2014-2015,April,MOP,Chattishgarh,0,10656.1
2014-2015,April,NPK,Chattishgarh,0,5240.75
2014-2015,April,TSP,Chattishgarh,0,3858.25
2014-2015,April,UREA,Chattishgarh,0,8629.9
2014-2015,April,SSP,Chattishgarh,0,0
2014-2015,April,DAP,Dadra & Nagar Haveli,0,0
2014-2015,April,MAP,Dadra & Nagar Haveli,0,0
2014-2015,April,MOP,Dadra & Nagar Haveli,0,0
2014-2015,April,NPK,Dadra & Nagar Haveli,0,0
2014-2015,April,TSP,Dadra & Nagar Haveli,0,0
2014-2015,April,UREA,Dadra & Nagar Haveli,0,0
2014-2015,April,DAP,Delhi,0,0
2014-2015,April,MAP,Delhi,0,0
2014-2015,April,MOP,Delhi,0,0
2014-2015,April,NPK,Delhi,0,0
2014-2015,April,TSP,Delhi,0,0
2014-2015,April,UREA,Delhi,0,0
2014-2015,April,DAP,Goa,0,28.8
2014-2015,April,MAP,Goa,0,0
2014-2015,April,MOP,Goa,0,0
2014-2015,April,NPK,Goa,0,5.5
2014-2015,April,TSP,Goa,0,0
2014-2015,April,UREA,Goa,0,0
2014-2015,April,DAP,Gujarat,0,11318.43
2014-2015,April,MAP,Gujarat,0,0
2014-2015,April,MOP,Gujarat,0,14578.3
2014-2015,April,NPK,Gujarat,0,15643.66
2014-2015,April,TSP,Gujarat,0,6313.85
2014-2015,April,UREA,Gujarat,0,4279.24
2014-2015,April,DAP,Harayana,0,6367.65
2014-2015,April,MAP,Harayana,0,0
2014-2015,April,MOP,Harayana,0,0
2014-2015,April,NPK,Harayana,0,1056.9
2014-2015,April,TSP,Harayana,0,0
2014-2015,April,UREA,Harayana,0,10280.6
2014-2015,April,DAP,Himachal Pradesh,0,109.8
2014-2015,April,MAP,Himachal Pradesh,0,0
2014-2015,April,MOP,Himachal Pradesh,0,0
2014-2015,April,NPK,Himachal Pradesh,0,0
2014-2015,April,TSP,Himachal Pradesh,0,0
2014-2015,April,UREA,Himachal Pradesh,0,7.5
2014-2015,April,DAP,Jammu & Kashmir,0,2412.05
2014-2015,April,MAP,Jammu & Kashmir,0,0
2014-2015,April,MOP,Jammu & Kashmir,0,798.15
2014-2015,April,NPK,Jammu & Kashmir,0,264.1
2014-2015,April,TSP,Jammu & Kashmir,0,0
2014-2015,April,UREA,Jammu & Kashmir,0,9504.65
2014-2015,April,DAP,Jharkhand,7500,589.1
2014-2015,April,MAP,Jharkhand,0,0
2014-2015,April,MOP,Jharkhand,0,0
2014-2015,April,NPK,Jharkhand,2500,579.35
2014-2015,April,TSP,Jharkhand,0,0
2014-2015,April,UREA,Jharkhand,20000,4994.5
2014-2015,April,DAP,Karnataka,43000,17507.45
2014-2015,April,MAP,Karnataka,0,0
2014-2015,April,MOP,Karnataka,18000,9674.52
2014-2015,April,NPK,Karnataka,75000,98479.18
2014-2015,April,TSP,Karnataka,0,11905.4
2014-2015,April,UREA,Karnataka,61000,21500.12
2014-2015,April,SSP,Karnataka,20000,0
2014-2015,April,DAP,Kerala,0,851.45
2014-2015,April,MAP,Kerala,0,0
2014-2015,April,MOP,Kerala,0,38.75
2014-2015,April,NPK,Kerala,0,19797.16
2014-2015,April,TSP,Kerala,0,3156.75
2014-2015,April,UREA,Kerala,0,18.1
2014-2015,April,DAP,Madhya Pradesh,0,40676.12
2014-2015,April,MAP,Madhya Pradesh,0,0
2014-2015,April,MOP,Madhya Pradesh,0,9103.3
2014-2015,April,NPK,Madhya Pradesh,0,20844.8
2014-2015,April,TSP,Madhya Pradesh,0,8443.85
2014-2015,April,UREA,Madhya Pradesh,0,16225.6
2014-2015,April,DAP,Maharastra,0,1960.35
2014-2015,April,MAP,Maharastra,0,0
2014-2015,April,MOP,Maharastra,0,31522.8
2014-2015,April,NPK,Maharastra,0,48324.91
2014-2015,April,TSP,Maharastra,0,0
2014-2015,April,UREA,Maharastra,0,12377.23
2014-2015,April,DAP,Manipur,0,0
2014-2015,April,MAP,Manipur,0,0
2014-2015,April,MOP,Manipur,0,0
2014-2015,April,NPK,Manipur,0,0
2014-2015,April,TSP,Manipur,0,0
2014-2015,April,UREA,Manipur,0,0
2014-2015,April,DAP,Megalaya,0,0
2014-2015,April,MAP,Megalaya,0,0
2014-2015,April,MOP,Megalaya,0,0
2014-2015,April,NPK,Megalaya,0,0
2014-2015,April,TSP,Megalaya,0,0
2014-2015,April,UREA,Megalaya,0,0
2014-2015,April,DAP,Mizoram,0,0
2014-2015,April,MAP,Mizoram,0,0
2014-2015,April,MOP,Mizoram,0,0
2014-2015,April,NPK,Mizoram,0,0
2014-2015,April,TSP,Mizoram,0,0
2014-2015,April,UREA,Mizoram,0,0
2014-2015,April,DAP,Nagaland,0,10
2014-2015,April,MAP,Nagaland,0,0
2014-2015,April,MOP,Nagaland,0,0
2014-2015,April,NPK,Nagaland,0,0
2014-2015,April,TSP,Nagaland,0,0
2014-2015,April,UREA,Nagaland,0,0
2014-2015,April,DAP,Orissa,0,10341.05
2014-2015,April,MAP,Orissa,0,0
2014-2015,April,MOP,Orissa,0,4939.9
2014-2015,April,NPK,Orissa,0,9720.6
2014-2015,April,TSP,Orissa,0,0
2014-2015,April,UREA,Orissa,0,12375.15
2014-2015,April,DAP,Pondicherry,0,0
2014-2015,April,MAP,Pondicherry,0,0
2014-2015,April,MOP,Pondicherry,0,12
2014-2015,April,NPK,Pondicherry,0,35
2014-2015,April,TSP,Pondicherry,0,0
2014-2015,April,UREA,Pondicherry,0,9
2014-2015,April,DAP,Punjab,0,15465.6
2014-2015,April,MAP,Punjab,0,0
2014-2015,April,MOP,Punjab,0,7033.85
2014-2015,April,NPK,Punjab,0,1409.7
2014-2015,April,TSP,Punjab,0,3355.3
2014-2015,April,UREA,Punjab,0,2672.45
2014-2015,April,DAP,Rajasthan,0,13183.5
2014-2015,April,MAP,Rajasthan,0,0
2014-2015,April,MOP,Rajasthan,0,1888.3
2014-2015,April,NPK,Rajasthan,0,35.5
2014-2015,April,TSP,Rajasthan,0,3526.25
2014-2015,April,UREA,Rajasthan,0,5612.65
2014-2015,April,DAP,Tamil Nadu,0,3095.55
2014-2015,April,MAP,Tamil Nadu,0,0
2014-2015,April,MOP,Tamil Nadu,0,9823.25
2014-2015,April,NPK,Tamil Nadu,0,34514.17
2014-2015,April,TSP,Tamil Nadu,0,0
2014-2015,April,UREA,Tamil Nadu,0,370.75
2014-2015,April,DAP,Tripura,0,3.25
2014-2015,April,MAP,Tripura,0,0
2014-2015,April,MOP,Tripura,0,0
2014-2015,April,NPK,Tripura,0,3.75
2014-2015,April,TSP,Tripura,0,0
2014-2015,April,UREA,Tripura,0,2163.5
2014-2015,April,DAP,Uttar Pradesh,0,149234.8
2014-2015,April,MAP,Uttar Pradesh,0,0
2014-2015,April,MOP,Uttar Pradesh,0,3806.5
2014-2015,April,NPK,Uttar Pradesh,0,29024.65
2014-2015,April,TSP,Uttar Pradesh,0,16125.25
2014-2015,April,UREA,Uttar Pradesh,0,62005.3
2014-2015,April,DAP,Uttaranchal,0,216
2014-2015,April,MAP,Uttaranchal,0,0
2014-2015,April,MOP,Uttaranchal,0,0
2014-2015,April,NPK,Uttaranchal,0,5411.3
2014-2015,April,TSP,Uttaranchal,0,0
2014-2015,April,UREA,Uttaranchal,0,4842.1
2014-2015,April,DAP,West Bengal,6900,5177.59
2014-2015,April,MAP,West Bengal,0,0
2014-2015,April,MOP,West Bengal,4150,7145.9
2014-2015,April,NPK,West Bengal,8250,43726.73
2014-2015,April,TSP,West Bengal,0,7377.55
2014-2015,April,UREA,West Bengal,39500,11382.1
2014-2015,May,DAP,Andaman & Nicobar,0,0
2014-2015,May,MAP,Andaman & Nicobar,0,0
2014-2015,May,MOP,Andaman & Nicobar,0,0
2014-2015,May,NPK,Andaman & Nicobar,0,0
2014-2015,May,TSP,Andaman & Nicobar,0,0
2014-2015,May,UREA,Andaman & Nicobar,0,0
2014-2015,May,DAP,Andhra Pradesh,75000,27881.4
2014-2015,May,MAP,Andhra Pradesh,0,0
2014-2015,May,MOP,Andhra Pradesh,20000,17902.39
2014-2015,May,NPK,Andhra Pradesh,154000,224252.74
2014-2015,May,TSP,Andhra Pradesh,0,0
2014-2015,May,UREA,Andhra Pradesh,150000,50564.5
2014-2015,May,SSP,Andhra Pradesh,30000,0
2014-2015,May,DAP,Arunachal Pradesh,0,0
2014-2015,May,MAP,Arunachal Pradesh,0,0
2014-2015,May,MOP,Arunachal Pradesh,0,0
2014-2015,May,NPK,Arunachal Pradesh,0,0
2014-2015,May,TSP,Arunachal Pradesh,0,0
2014-2015,May,UREA,Arunachal Pradesh,0,0
2014-2015,May,DAP,Assam,0,3289.55
2014-2015,May,MAP,Assam,0,0
2014-2015,May,MOP,Assam,0,3725.3
2014-2015,May,NPK,Assam,0,1471.75
2014-2015,May,TSP,Assam,0,0
2014-2015,May,UREA,Assam,0,648.45
2014-2015,May,DAP,Bihar,0,16316.1
2014-2015,May,MAP,Bihar,0,0
2014-2015,May,MOP,Bihar,0,5979.7
2014-2015,May,NPK,Bihar,0,18332.2
2014-2015,May,TSP,Bihar,0,7673.75
2014-2015,May,UREA,Bihar,0,23382.6
2014-2015,May,DAP,Chattishgarh,0,15586.5
2014-2015,May,MAP,Chattishgarh,0,0
2014-2015,May,MOP,Chattishgarh,0,10515.2
2014-2015,May,NPK,Chattishgarh,0,7107.75
2014-2015,May,TSP,Chattishgarh,0,3858.25
2014-2015,May,UREA,Chattishgarh,0,17959.85
2014-2015,May,DAP,Dadra & Nagar Haveli,0,0
2014-2015,May,MAP,Dadra & Nagar Haveli,0,0
2014-2015,May,MOP,Dadra & Nagar Haveli,0,0
2014-2015,May,NPK,Dadra & Nagar Haveli,0,16.85
2014-2015,May,TSP,Dadra & Nagar Haveli,0,0
2014-2015,May,UREA,Dadra & Nagar Haveli,0,15.55
2014-2015,May,DAP,Daman & Diu,0,0
2014-2015,May,MAP,Daman & Diu,0,0
2014-2015,May,MOP,Daman & Diu,0,0
2014-2015,May,NPK,Daman & Diu,0,0
2014-2015,May,TSP,Daman & Diu,0,0
2014-2015,May,UREA,Daman & Diu,0,0
2014-2015,May,DAP,Delhi,0,0
2014-2015,May,MAP,Delhi,0,0
2014-2015,May,MOP,Delhi,0,0
2014-2015,May,NPK,Delhi,0,0
2014-2015,May,TSP,Delhi,0,0
2014-2015,May,UREA,Delhi,0,0
2014-2015,May,DAP,Goa,0,28.8
2014-2015,May,MAP,Goa,0,0
2014-2015,May,MOP,Goa,0,0
2014-2015,May,NPK,Goa,0,5.5
2014-2015,May,TSP,Goa,0,0
2014-2015,May,UREA,Goa,0,0
2014-2015,May,DAP,Gujarat,0,16775.23
2014-2015,May,MAP,Gujarat,0,0
2014-2015,May,MOP,Gujarat,0,12714.3
2014-2015,May,NPK,Gujarat,0,16423.9
2014-2015,May,TSP,Gujarat,0,6313.85
2014-2015,May,UREA,Gujarat,0,26550.91
2014-2015,May,DAP,Harayana,0,10337.7
2014-2015,May,MAP,Harayana,0,0
2014-2015,May,MOP,Harayana,0,0
2014-2015,May,NPK,Harayana,0,953.25
2014-2015,May,TSP,Harayana,0,0
2014-2015,May,UREA,Harayana,0,50480.3
2014-2015,May,DAP,Himachal Pradesh,0,0
2014-2015,May,MAP,Himachal Pradesh,0,0
2014-2015,May,MOP,Himachal Pradesh,0,0
2014-2015,May,NPK,Himachal Pradesh,0,53.4
2014-2015,May,TSP,Himachal Pradesh,0,0
2014-2015,May,UREA,Himachal Pradesh,0,130
2014-2015,May,DAP,Jammu & Kashmir,0,4911.8
2014-2015,May,MAP,Jammu & Kashmir,0,0
2014-2015,May,MOP,Jammu & Kashmir,0,704.2
2014-2015,May,NPK,Jammu & Kashmir,0,570.9
2014-2015,May,TSP,Jammu & Kashmir,0,0
2014-2015,May,UREA,Jammu & Kashmir,0,12080.4
2014-2015,May,DAP,Jharkhand,7500,649.55
2014-2015,May,MAP,Jharkhand,0,0
2014-2015,May,MOP,Jharkhand,0,0
2014-2015,May,NPK,Jharkhand,10000,1424.75
2014-2015,May,TSP,Jharkhand,0,0
2014-2015,May,UREA,Jharkhand,20000,6239.8
2014-2015,May,SSP,Jharkhand,15000,0
2014-2015,May,DAP,Karnataka,83000,33869.9
2014-2015,May,MAP,Karnataka,0,0
2014-2015,May,MOP,Karnataka,10000,11799.17
2014-2015,May,NPK,Karnataka,93000,119151.08
2014-2015,May,TSP,Karnataka,0,11905.4
2014-2015,May,UREA,Karnataka,100000,32243.35
2014-2015,May,SSP,Karnataka,30000,0
2014-2015,May,DAP,Kerala,0,267.65
2014-2015,May,MAP,Kerala,0,0
2014-2015,May,MOP,Kerala,0,716.5
2014-2015,May,NPK,Kerala,0,19232.1
2014-2015,May,TSP,Kerala,0,3156.75
2014-2015,May,UREA,Kerala,0,2.65
2014-2015,May,DAP,Madhya Pradesh,0,65141.92
2014-2015,May,MAP,Madhya Pradesh,0,0
2014-2015,May,MOP,Madhya Pradesh,0,9819.85
2014-2015,May,NPK,Madhya Pradesh,0,26281.75
2014-2015,May,TSP,Madhya Pradesh,0,8443.85
2014-2015,May,UREA,Madhya Pradesh,0,67091.1
2014-2015,May,DAP,Maharastra,0,7008.7
2014-2015,May,MAP,Maharastra,0,0
2014-2015,May,MOP,Maharastra,0,23813.3
2014-2015,May,NPK,Maharastra,0,56048.51
2014-2015,May,TSP,Maharastra,0,0
2014-2015,May,UREA,Maharastra,0,72153.18
2014-2015,May,DAP,Manipur,0,0
2014-2015,May,MAP,Manipur,0,0
2014-2015,May,MOP,Manipur,0,0
2014-2015,May,NPK,Manipur,0,0
2014-2015,May,TSP,Manipur,0,0
2014-2015,May,UREA,Manipur,0,0
2014-2015,May,DAP,Megalaya,0,100
2014-2015,May,MAP,Megalaya,0,0
2014-2015,May,MOP,Megalaya,0,0
2014-2015,May,NPK,Megalaya,0,100
2014-2015,May,TSP,Megalaya,0,0
2014-2015,May,UREA,Megalaya,0,0
2014-2015,May,DAP,Mizoram,0,0
2014-2015,May,MAP,Mizoram,0,0
2014-2015,May,MOP,Mizoram,0,0
2014-2015,May,NPK,Mizoram,0,0
2014-2015,May,TSP,Mizoram,0,0
2014-2015,May,UREA,Mizoram,0,0
2014-2015,May,DAP,Nagaland,0,0
2014-2015,May,MAP,Nagaland,0,10
2014-2015,May,MOP,Nagaland,0,0
2014-2015,May,NPK,Nagaland,0,0
2014-2015,May,TSP,Nagaland,0,0
2014-2015,May,UREA,Nagaland,0,0
2014-2015,May,DAP,Orissa,0,22161.1
2014-2015,May,MAP,Orissa,0,0
2014-2015,May,MOP,Orissa,0,4134.6
2014-2015,May,NPK,Orissa,0,14070.75
2014-2015,May,TSP,Orissa,0,0
2014-2015,May,UREA,Orissa,0,30034.75
2014-2015,May,DAP,Pondicherry,0,0
2014-2015,May,MAP,Pondicherry,0,0
2014-2015,May,MOP,Pondicherry,0,12
2014-2015,May,NPK,Pondicherry,0,35
2014-2015,May,TSP,Pondicherry,0,0
2014-2015,May,UREA,Pondicherry,0,5
2014-2015,May,DAP,Punjab,0,10699.1
2014-2015,May,MAP,Punjab,0,0
2014-2015,May,MOP,Punjab,0,4278.45
2014-2015,May,NPK,Punjab,0,1350.65
2014-2015,May,TSP,Punjab,0,3355.3
2014-2015,May,UREA,Punjab,0,18756.6
2014-2015,May,DAP,Rajasthan,0,12236.95
2014-2015,May,MAP,Rajasthan,0,0
2014-2015,May,MOP,Rajasthan,0,1826.3
2014-2015,May,NPK,Rajasthan,0,396.65
2014-2015,May,TSP,Rajasthan,0,3526.25
2014-2015,May,UREA,Rajasthan,0,30402.95
2014-2015,May,DAP,Tamil Nadu,0,5926.1
2014-2015,May,MAP,Tamil Nadu,0,0
2014-2015,May,MOP,Tamil Nadu,0,2846.2
2014-2015,May,NPK,Tamil Nadu,0,33403.52
2014-2015,May,TSP,Tamil Nadu,0,0
2014-2015,May,UREA,Tamil Nadu,0,305.9
2014-2015,May,DAP,Tripura,0,3.25
2014-2015,May,MAP,Tripura,0,0
2014-2015,May,MOP,Tripura,0,0
2014-2015,May,NPK,Tripura,0,3.75
2014-2015,May,TSP,Tripura,0,0
2014-2015,May,UREA,Tripura,0,2163.5
2014-2015,May,DAP,Uttar Pradesh,0,180584.2
2014-2015,May,MAP,Uttar Pradesh,0,0
2014-2015,May,MOP,Uttar Pradesh,0,3338.15
2014-2015,May,NPK,Uttar Pradesh,0,33745.65
2014-2015,May,TSP,Uttar Pradesh,0,16125.25
2014-2015,May,UREA,Uttar Pradesh,0,194357
2014-2015,May,DAP,Uttaranchal,0,168.3
2014-2015,May,MAP,Uttaranchal,0,0
2014-2015,May,MOP,Uttaranchal,0,0
2014-2015,May,NPK,Uttaranchal,0,4318.55
2014-2015,May,TSP,Uttaranchal,0,0
2014-2015,May,UREA,Uttaranchal,0,2585.3
2014-2015,May,DAP,West Bengal,12200,6213.24
2014-2015,May,MAP,West Bengal,0,0
2014-2015,May,MOP,West Bengal,7500,7046.9
2014-2015,May,NPK,West Bengal,18400,52984.23
2014-2015,May,TSP,West Bengal,0,7377.55
2014-2015,May,UREA,West Bengal,58000,31973.23
2014-2015,June,DAP,Andaman & Nicobar,0,0
2014-2015,June,MAP,Andaman & Nicobar,0,0
2014-2015,June,MOP,Andaman & Nicobar,0,0
2014-2015,June,NPK,Andaman & Nicobar,0,0
